mot	docs
syndromiques	['67556']
caractérisée	['67556', '70420']
progressif	['67556', '68646', '75457']
intellectuelles	['67556', '67556']
déficits	['67556']
processus	['67556', '68277', '68639', '68887', '69184', '69539', '69539', '69539', '70167', '70426', '70746', '71361', '71840', '72113', '72116', '72117', '72394', '72630', '73431', '73882', '74451', '74749', '74750', '75064', '75067', '75458', '76210']
cognitif	['67556', '73184', '73184', '76515']
(mémorisation	['67556']
apprentissage	['67556', '68281', '68281', '68888', '70164', '71358', '73430', '73430', '73876', '73876', '73876', '73876', '75063', '75071', '75457', '75457', '76206']
mutation	['67556', '67556', '67556', '72395', '73430']
gèn	['67556', '67556', '67556', '67800', '67802', '67802', '68388', '70420']
med23	['67556', '67556', '67556', '67556']
isolée	['67556']
code	['67556', '69178', '70162', '71619', '74744', '74744', '76207']
sous-unité	['67556']
multiprotéiqu	['67556']
médiateur	['67556']
(med)	['67556']
rôle	['67556', '67556', '67800', '67803', '67937', '67946', '68274', '68387', '68388', '68388', '68881', '68882', '68886', '69181', '69184', '69184', '69540', '69815', '69815', '70161', '70161', '70161', '70914', '72116', '72116', '72116', '72119', '72631', '72631', '72932', '73184', '73434', '73685', '73691', '73878', '74744', '74746', '75070', '75459', '75459', '76209', '76511']
expression	['67556', '67556', '67556', '67556', '67556', '70420', '70424']
transcription	['67556', '67556']
interagir	['67556', '67556', '70421', '73688', '73879']
arn	['67556']
polymérase	['67556']
atteindre	['67556', '67940', '68274', '68281', '68638', '68646', '68646', '68883', '68886', '69533', '69533', '69538', '69539', '70422', '70425', '70743', '70744', '70918', '71358', '71617', '72118', '72635', '72933', '72934', '73183', '73183', '73187', '73187', '73431', '73432', '73684', '73686', '73878', '74454', '74746', '75065', '75065', '75065', '75790']
défaut	['67556', '68391', '68886', '68886', '73879', '76210']
précoces	['67556', '67556']
jun	['67556', '67556']
fos	['67556']
cascade	['67556']
nerveux	['67556', '68277', '68277', '68277', '68388', '68388', '69539', '71616', '72115', '73187', '73187', '74453']
central	['67556', '67937', '69181', '73430', '74453']
activation	['67556', '68388', '69184']
transitoire	['67556']
majeur	['67556', '67556', '67794', '68882', '69178', '69179', '69181', '69533', '69543', '69815', '70162', '70163', '71836', '71836', '71842', '72113', '72116', '72120', '72398', '72629', '72635', '73183', '73434', '73876', '74450', '74454', '74457', '74744', '74746', '75069', '75789', '75793', '75795', '75796', '76213']
plasticité	['67556', '68887']
cérébrale	['67556', '67801', '76515']
protéine	['67556', '67556', '67556', '67801', '67801', '67801', '67801', '67801', '68388', '68390', '69539', '69539', '69539', '69539', '69539', '69539', '70420', '71837', '72115', '72394', '72630', '72631', '72631', '72631', '73878', '74173', '74173', '75459', '75459', '75459', '75459', '75459', '75459', '76213', '76213', '76213']
modifiée	['67556', '70162', '75463']
incapable	['67556', '72630']
correctement	['67556']
considérés	['67556']
assemblage	['67556', '67558', '67558', '68882', '70167', '70746', '72116', '72636', '73683', '73876', '75064', '75064', '75064']
défectueux	['67556']
mauvais	['67556', '72932', '73684', '75459']
muter	['67556', '67937']
tcf4	['67556']
porteur	['67556', '67938', '67940', '73182', '73438', '74457', '75465']
suggèr	['67556', '68388', '75063']
anomalie	['67556', '67556', '69815', '72118']
trouble	['67556', '68277', '68277', '71841', '71841', '71841', '71841', '71841', '71841', '74171', '74173', '75791', '76508']
argument	['67556']
faveur	['67556']
réfrigérateur	['67557', '67557', '70746']
équipemer	['67557', '68273', '68273', '68273', '68273', '68277', '70420', '70914', '76513']
refroidir	['67557', '68640']
conserver	['67557', '67558', '68273', '68273', '68273', '70161', '73683', '73877', '74167', '75065']
8%	['67557']
électricité	['67557', '68884', '68884', '68884', '68884', '68884', '70426', '72114', '72397', '73185', '73188', '75064', '75066']
5%	['67557', '73182']
rejeter	['67557', '71621']
atmosphère	['67557', '67939', '67939', '67939', '67939', '67939', '68273', '68273', '68273', '68273', '68273', '69811', '73183', '73186', '73434']
préconiser	['67557']
globale	['67557', '69533', '75789']
union	['67557', '67944', '68277', '68642', '68642', '68642', '74168', '75792']
frisbee	['67557', '67557']
(food	['67557']
refrigeration	['67557', '72393']
innovations	['67557', '67941', '67941', '69535', '69535', '69543', '70163', '70420', '72393', '72400', '72633', '73876', '73876', '74176', '74456', '75797']
for	['67557', '67945', '68275', '68881', '68881', '69180', '69811', '70164', '70164', '71615', '72635', '75065', '75069']
savety	['67557']
consumer's	['67557']
benefit	['67557']
environmental	['67557']
and	['67557', '67945', '67945', '67945', '68278', '68280', '68386', '68386', '68387', '68638', '68645', '69538', '69811', '70162', '71837', '71838', '72119', '72393', '72635', '74173', '75794', '75794', '75795', '76207', '76210', '76210']
energy	['67557', '69537']
optimization	['67557']
along	['67557']
the	['67557', '67802', '68886', '68886', '68886', '68886', '69184', '69819', '69819', '71837', '72393', '76513']
cold	['67557', '72393']
chain	['67557', '72393', '72637']
europe)	['67557']
qu'elle	['67557', '67794', '67937', '68273', '68645', '68881', '68881', '69177', '69533', '69821', '69821', '70161', '70422', '70422', '70422', '70424', '70914', '70915', '70915', '70916', '71360', '71612', '71612', '71612', '71612', '71614', '71615', '71616', '71840', '71840', '71842', '72113', '72113', '72114', '72118', '72122', '72932', '72932', '72932', '72935', '73182', '73182', '73183', '73686', '74455', '74747', '74749', '74749', '75065', '75461', '75461', '76208', '76208', '76211', '76508', '76511', '76511']
finance	['67557']
euros	['67557', '67557', '67799', '67801', '68274', '68275', '68277', '68383', '69181', '69534', '69538', '69538', '69541', '69812', '69815', '69815', '70164', '70166', '71359', '71360', '71360', '71360', '71361', '71361', '71361', '71616', '71837', '72114', '72114', '72118', '72633', '72934', '72934', '72935', '72935', '73683', '73686', '73875', '73878', '74450', '74451', '74746', '74747', '74749', '75065', '75065', '75065', '75066', '75461', '75466', '75795', '75795', '76508', '76510', '76510']
indusriels	['67557']
bénéficie	['67557', '68885', '70422', '70422', '70426', '71359', '72114']
budget	['67557', '69538', '70164', '71359', '71837', '73683', '75065']
intelligents	['67557', '67945', '67945', '71363', '71617', '75071']
énergie	['67557', '67797', '67800', '67939', '67939', '67939', '68383', '68385', '68638', '68638', '68638', '68640', '68644', '68644', '68644', '68882', '68882', '68884', '68884', '69178', '69538', '69539', '69540', '69540', '69540', '69540', '69540', '69540', '69814', '69814', '69814', '69818', '69818', '69818', '69819', '70165', '70166', '70424', '70424', '70424', '70424', '71362', '71363', '71363', '71363', '71363', '71363', '71363', '71617', '71617', '71617', '71617', '71617', '71621', '72393', '72397', '72397', '72397', '72397', '72397', '72398', '72398', '72629', '72933', '72934', '72934', '72937', '72940', '72940', '73185', '73185', '73188', '73190', '73434', '73436', '73684', '73688', '74168', '74168', '74168', '74168', '74168', '74450', '74450', '75063', '75063', '75066', '75067', '75071', '75463', '75463', '75463', '75789', '75789', '75789', '76210', '76213']
emballage	['67557', '72634', '75069', '75462', '76514', '76514', '76514']
revêtement	['67557', '74744']
vis-à-vis	['67557', '68279', '68387', '68388', '68388', '69534', '70161', '70161', '70161', '72394', '73432', '74167', '74745']
écart	['67557']
température	['67557', '67558', '67558', '67558', '67558', '67939', '67939', '67939', '68280', '68389', '68389', '68389', '68389', '68390', '68640', '68640', '68644', '68883', '69182', '69533', '69533', '69537', '69811', '69819', '70916', '73434', '73688', '74168', '74170', '75463', '76210', '76210']
magnétique	['67557', '69177', '69186', '73189', '73880', '74168', '74168', '74168', '75064', '75064', '76208']
social	['67557', '67798', '68276', '68283', '68386', '69535', '69535', '69813', '70161', '71357', '71357', '72393', '72939', '72939', '73185', '73431', '73683', '73882', '74167', '74175', '75063', '75063', '75461', '76208', '76213']
consommateur	['67557', '67557', '68642', '68882', '68882', '69534', '69534', '69534', '69534', '72393', '72637', '72637', '74169', '74744', '74744', '75793', '75793', '75793', '75793', '75795', '76209', '76209', '76511', '76512', '76512', '76514']
européens	['67557', '67939', '67945', '68386', '68642', '69178', '69181', '69534', '69538', '69817', '69821', '70164', '70914', '70917', '72114', '72393', '74167', '75797']
actuellement	['67557', '67942', '67943', '68642', '68642', '68646', '68881', '68882', '68883', '69183', '69186', '69819', '70920', '71360', '71838', '72113', '72115', '72117', '72119', '72397', '72636', '73432', '73436', '73683', '73684', '73880', '74167', '74168', '74173', '74454', '75789', '75789', '76511']
cemagref	['67557', '68275', '68275', '68275', '68283', '68283', '72393']
achever	['67557', '67795', '69533', '70421', '70422']
froid	['67557', '68273', '68273', '72393', '72393', '72393', '72393', '72393', '72393']
disponibles	['67557', '69535', '71363', '73876', '74453', '74745']
attente	['67557', '68279', '68643', '69183', '70169', '72395', '72637', '73877', '74175', '75063', '75069', '75457']
agroalimenaire	['67557']
raison	['67558', '67795', '67939', '68389', '68642', '68882', '69183', '69537', '69811', '69821', '70165', '72934', '73685', '73878', '74169', '74744', '75065', '75792', '76210']
texture	['67558', '72631', '72634', '73685', '74746']
tensioactives	['67558', '67558', '67558']
constituent	['67558']
vertu	['67558']
détergentes	['67558']
placer	['67558', '67558', '67800', '67939', '67939', '67939', '68277', '68279', '68883', '69179', '69181', '69182', '70161', '70420', '70424', '70425', '70920', '72119', '72395', '72637', '74168', '74752']
stabiliser	['67558', '67558', '67558', '68390', '74168', '74168']
bulle	['67558', '67558', '75794']
mousse	['67558', '67558', '67558', '74752', '75794', '75794']
12-hydroxy	['67558', '67558', '67558']
stéarique	['67558', '67558', '67558']
ricin	['67558']
initialement	['67558', '67939', '68387', '68388', '68883', '69815', '72636', '73187', '73876']
insoluble	['67558', '68280']
avantageux	['67558']
abondant	['67558', '70423', '74173']
stable	['67558', '67558', '67558', '67558', '67802', '68390', '69537', '69540', '71616', '75459']
tensioactif	['67558', '67558']
heures	['67558', '68640', '68640', '71835', '74170', '74450', '75460', '75789', '75789']
neutrons	['67558']
phénomène	['67558', '67939', '67942', '68639', '69820', '69820', '70421', '70421', '70426', '70916', '70916', '71836', '72932', '73188', '73877', '74168', '74168', '74453', '74745', '74745', '74752', '75070']
60°	['67558', '67558', '67558', '68640']
c	['67558', '67558', '67558', '67944', '67944', '67944', '68640', '68640', '68886', '69533', '69533', '69819', '72119', '72395', '73432', '76207', '76210']
mélanger	['67558', '68644']
disperse	['67558', '72932']
tube	['67558', '67558', '67558', '67558', '70918', '73188', '73432']
microns	['67558', '69540', '70425']
parfaitement	['67558', '67802', '68383', '69177', '70161', '70420', '70421', '71842', '72932', '73184', '73436', '73877', '73878', '74168', '74172', '74449', '74450', '74455', '75063', '75794', '76507', '76508', '76511']
rigide	['67558', '67558']
tenir	['67558', '67803', '67804', '67942', '69534', '69540', '69541', '69542', '70162', '70165', '70169', '70421', '70421', '70421', '70916', '71358', '71612', '72120', '72629', '72933', '72940', '73183', '73430', '73431', '73875', '73881', '73882', '73884', '74449', '74746']
fusionner	['67558', '74168', '74168', '74168']
assemblages	['67558']
sphérique	['67558']
mille	['67558', '68883', '70425', '72396', '72397', '72934']
(soit	['67558']
nanomètres)	['67558']
micelles	['67558', '67558']
s'effondre	['67558']
disparaissant	['67558']
micelle	['67558']
réversible	['67558', '68280']
volume	['67558', '67558', '68273', '69821', '69821', '70165', '75064', '75067', '75792', '75792']
baisse	['67558']
reformer	['67558']
fois	['67558', '69540', '70922', '71357', '71835', '72635', '73190', '73434', '74456']
retrouver	['67558', '68276', '68389', '68389', '69184', '72631', '72932', '72937', '73879', '75457']
initial	['67558', '69177', '70426', '70922', '72113', '72392', '72392', '72392', '73437', '73437', '73687', '74167', '75461']
réinjecter	['67558', '68884']
angewandte	['67558']
chemie	['67558']
29	['67558', '67944', '67945', '68387', '68391', '68391', '68638', '69538', '71837', '74456']
première	['67558', '67795', '67802', '67937', '68882', '68885', '69178', '70161', '70420', '70747', '73434', '73683']
naturelle	['67558', '67938', '68385', '75788', '75788', '75788']
perspective	['67558', '67800', '67804', '67939', '68390', '69537', '69540', '71363', '72398', '72632', '72632', '73877', '74174', '75466', '76208']
amplement	['67558']
détergent	['67558']
shampoing	['67558']
évacuation	['67558', '72392']
cosmétiques	['67558', '70166', '72630', '73685', '74744', '74744']
synthétique	['67558', '68390', '70423']
moussantes	['67558']
nice	['67561', '67561', '67561', '69180', '75065']
pride	['67561', '68393']
(pôles	['67561', '68393']
economique	['67561', '68393']
solidaire)	['67561', '68393']
novachim	['67561']
pass	['67561', '71845', '71845']
trimatec	['67561']
partenariat	['67561', '67795', '67795', '67944', '67945', '68276', '68278', '68384', '68384', '68384', '68384', '68392', '68393', '68639', '68642', '68883', '68888', '69536', '69813', '69815', '70161', '70166', '70420', '70421', '70421', '70422', '70745', '70748', '70751', '70753', '70753', '70753', '70920', '70920', '70920', '70920', '71357', '71358', '71358', '71360', '71360', '71360', '71363', '71612', '71621', '72122', '72396', '72396', '72398', '72630', '72630', '72938', '73430', '73434', '73684', '73689', '73691', '73691', '73876', '74170', '74172', '74744', '74744', '75068', '75464', '75464', '75465', '75793', '76515']
valrose	['67561']
colloque	['67561', '67803', '67939', '67942', '67945', '67945', '68384', '69534', '70170', '70428', '70749', '71357', '71363', '71363', '71363', '71620', '71620', '73877', '74175', '74175', '74449', '74449', '75464', '75464']
rabilité	['67561', '68639', '69538', '70164', '70920', '70920', '70920', '72637', '73877', '76213']
intrinsèque	['67561', '73685']
procédé	['67561', '69819', '70425']
catalyse	['67561', '67561', '70425']
iversitaire	['67561', '67795', '67798', '67799', '67940', '68646', '70161', '72394', '72394', '72937', '73877', '73879', '73879', '74454', '74454', '74454', '74752', '75793', '76509', '76513']
évoquer	['67561', '67794', '67795', '67801', '67939', '69177', '69177', '72630', '72631', '74167', '75462', '75792', '76213', '76514', '76516', '76516']
témoignage	['67561', '71612', '74174']
présentation	['67561', '67942', '69543', '71363', '71845', '72121', '73690', '75071', '76516', '76516', '76516', '76516']
didactiques	['67561', '74748']
respectives	['67561']
s'inscrit	['67561', '67798', '68279', '68882', '70914', '70916', '70920', '72118', '72392', '72396', '73876', '74449', '74455', '75457', '76511', '76511']
vision	['67561', '67561', '67794', '67945', '68383', '68388', '68638', '68642', '68886', '70161', '70162', '70164', '70421', '70421', '70421', '71360', '71617', '73430', '73434', '73876', '76211']
imposer	['67561', '70918', '72629', '74167']
étendre	['67561', '75068']
procédés	['67561', '68276', '71362', '73683', '75792', '75792']
29/09/2011	['67794', '67795', '67796', '67797', '67798', '67799', '67800', '67801', '67802', '67803', '67804']
doute	['67794', '67939', '68389', '68882', '70166', '71357', '71359', '71621', '71835', '71842', '71842', '72115', '72115', '72394', '72394', '72932', '72932', '73182', '73430', '73875', '73876', '74167', '74168', '74455', '74455', '74752', '75789', '75793']
êtres	['67794', '67794']
humains	['67794', '70165', '72113']
iil	['67794']
nourriture	['67794']
répondre	['67794', '67938', '68275', '68279', '68643', '68643', '69177', '70161', '70161', '70162', '70169', '70169', '70751', '70920', '71615', '71619', '71621', '71836', '71836', '72117', '72394', '72399', '72629', '72629', '72932', '72936', '72936', '73184', '73188', '73683', '73687', '73689', '73876', '74450', '74453', '74455', '74744', '74749', '75063', '75064', '75069', '75069', '75069', '75792', '76212', '76213', '76507', '76509', '76509', '76512', '76513']
norme	['67794', '70169', '72393']
exigeantes	['67794']
titre	['67794', '68275', '68383', '69812', '71357', '71359', '73430', '73683', '74170']
ouvrage	['67794', '67794', '67794', '67794', '67794', '67938', '67938', '67938', '68276', '68276', '68276', '68276', '68283', '68383', '68383', '68383', '68882', '68882', '69821', '70163', '70165', '70753', '71621', '71621', '71621', '71835', '71836', '72629', '72629', '72940', '73683', '73683', '74752', '74752']
co-écrit	['67794']
marion	['67794', '67794', '67794', '67794', '67794']
guillou	['67794', '67794', '67794', '67794', '67794']
agronomique	['67794', '67794', '71837', '71837']
(inra)	['67794']
gérard	['67794', '67794', '67794', '67794', '67794', '68279', '68279', '68638', '68638', '68638', '68638', '72113', '72630', '72630', '72630', '72630', '72634', '73182', '73182', '73182', '73182', '73182', '73182']
matheron	['67794', '67794', '67794', '67794', '67794']
(cirad)	['67794']
bourin	['67794']
editeur	['67794', '76507']
extraordinaire	['67794', '69821', '71621', '72934', '73434']
homme	['67794', '67798', '67937', '67937', '67937', '67937', '67937', '67941', '68387', '69819', '70429', '70745', '71835', '71835', '71842', '71842', '71843', '72115', '72116', '72631', '72631', '72631', '72631', '72937', '72940', '73182', '73684', '73685', '74749', '74752', '75458', '75458', '75460', '75791', '76213', '76213', '76508', '76511']
cataclysme	['67794', '67794', '73880']
teur	['67794', '67794', '67794', '67794', '67938', '67938', '68276', '68887', '69184', '69533', '69821', '71366', '74752', '76213']
profond	['67794', '69178', '69181', '70918', '73688', '73688', '73876', '76211']
changements	['67794', '72116', '73183']
habitude	['67794', '68276', '76213']
concluent-ils	['67794']
couverture	['67794']
combien	['67794', '68276', '69812', '72940', '74745', '75466', '76509']
civilisation	['67794']
sont-elles	['67794', '67798', '71618', '71621']
effondrées	['67794', '69811']
faute	['67794', '67938', '68383', '71835', '71835', '72393', '73185', '73683']
sécurité	['67794', '67796', '67796', '67796', '67796', '67941', '67941', '67941', '67945', '68274', '68274', '68274', '68274', '68274', '68881', '68885', '70425', '70425', '70744', '71615', '72392', '73432', '74456', '74744', '74745', '75069', '76207', '76208', '76514', '76514']
incapacité	['67794', '67941']
agriculture	['67794', '67794', '67794', '67794', '67794', '67794', '67794', '67804', '67804', '67804', '68273', '68279', '68279', '68279', '68279', '68279', '68279', '68882', '68882', '69182', '69538', '69812', '69821', '69821', '69821', '69821', '70165', '70420', '71357', '71836', '71837', '71842', '71842', '72393', '72393', '73879', '74450', '74450', '76213', '76213', '76213', '76213', '76213']
satisfaire	['67794', '67795', '69177', '71617', '71836', '72114', '75457', '76511']
surexploitation	['67794']
dégât	['67794', '70916', '76511']
irréversibles	['67794']
s'interrogent	['67794', '71837']
mérite	['67794', '68274', '70161', '70915', '73182']
poser	['67794', '67798', '68276', '68383', '68638', '68643', '68882', '69821', '70425', '72114', '72630', '72632', '73182', '73182', '73182', '73683', '74752', '76213']
officiellement	['67794', '67937', '68393', '68881', '69178', '69181', '70161', '70422', '71359', '71619', '76508']
7	['67794', '68276', '68279', '68883', '68885', '68888', '68888', '69177', '69177', '69177', '69179', '69185', '69185', '69534', '69817', '70164', '70914', '71612', '71837', '72114', '72120', '72633', '73187', '73435', '73879', '74167', '74168', '74168', '74170', '74170', '74175', '74176', '74455', '74746', '74748', '75063', '76213']
se	['67794', '73182']
pose	['67794', '67794', '68275', '70919', '71614', '72114']
majeure	['67794']
bout	['67794', '67802', '71357', '72114', '72114', '72119', '72932']
lorgnette	['67794']
émeute	['67794']
achat	['67794', '68274', '68881', '68881', '68881', '69534', '71357', '76213']
afrique	['67794', '68642', '69820', '69820', '69821', '69821', '69821', '69821', '69821', '69821', '69821', '70916', '72629', '72629', '73185', '73185', '73684', '73684', '73684', '73684', '73875', '73875', '75458']
spéculateur	['67794']
teurs	['67794', '71621']
occuper	['67794', '68279', '68383', '69537', '69540', '69813', '71361', '72113', '72393', '72630', '73182', '73879', '74167', '75070', '76209']
parcours	['67794', '68641', '69535', '73182', '73437', '74167', '74176', '74748', '74749']
nord	['67794', '67794', '67796', '68281', '68389', '68642', '69820', '69820', '70916', '71361', '71612', '71836', '71837', '71840', '73185', '73430', '73684', '73878', '74172', '74457', '75463', '76510']
sud	['67794', '67794', '67794', '68279', '68642', '69811', '69821', '71621', '71842', '72396', '72396', '72629', '72629', '72630', '72933', '73684', '73688', '74168', '74168', '74455', '74457', '74752', '75064']
envie	['67794', '68881', '68881', '69534', '70161', '70161', '74450', '75069']
rer	['67794', '67798', '67801', '67937', '68273', '68274', '68383', '68387', '68881', '68883', '69179', '69179', '69534', '69537', '69821', '69821', '70161', '70169', '70421', '70421', '70421', '70421', '70421', '71359', '71363', '71836', '72113', '72394', '72394', '72629', '72630', '72932', '72932', '72934', '72935', '72937', '72939', '73182', '73185', '73185', '73685', '73879', '73881', '73882', '74168', '74170', '74171', '74175', '74450', '74453', '74752', '75458', '75459', '75459', '75459', '75464', '75788', '75793', '75793', '76208', '76509']
cteur	['67794', '68283', '69821', '74752', '76507']
compréhension	['67794', '67937', '67942', '68881', '69533', '69811', '69819', '70420', '70426', '70916', '71359', '72113', '73431', '73877', '76508']
paysage	['67794', '67938', '70161']
son	['67794', '67795', '67937', '68275', '68386', '68386', '68639', '68645', '68646', '68883', '69181', '69536', '69811', '70161', '71357', '71358', '71361', '71361', '71362', '71612', '71840', '72113', '72396', '72932', '73685', '73686', '73875', '73878', '74450', '74453', '75794', '76211', '76508', '76512', '76514']
diagnostic	['67794', '68383', '68646', '68881', '69815', '70426', '71845', '72115', '73686', '73686', '73686', '74171', '74173', '74455', '75065', '76510']
oui	['67794', '72397']
prolonger	['67794', '67798', '69178', '74168', '74451']
tendance	['67794', '67794', '67938', '68274', '68383', '69533', '71619', '71835', '72120', '72629', '73877', '74167', '74752', '75065', '76209', '76209', '76209', '76209', '76209', '76213']
actuelles	['67794']
déclarent-ils	['67794']
urger	['67794', '68383', '69182', '73182', '73183', '75069', '75792']
réagir	['67794', '67794', '67938', '69539', '70425', '71621', '74450', '75457']
qu'individu	['67794']
citoyen	['67794', '69821', '71357', '72940', '73185', '73875', '75465']
cirad	['67794', '68275', '69182', '74457']
organisme	['67794', '67795', '67795', '67800', '67800', '67800', '67802', '67802', '67802', '68385', '68385', '68386', '68386', '68885', '68885', '68887', '69181', '69184', '71361', '71836', '71838', '72116', '73688', '73884', '74746', '74748', '75796', '76511', '76511', '76511', '76516', '76516']
vant	['67794', '67794', '70163', '70169', '70420', '70744', '72117', '73185', '73438', '74167', '74450', '74745', '75792', '76507']
parce	['67794', '67938', '68383', '68387', '68638', '68881', '69821', '70424', '70745', '72394', '72939', '73185', '73430', '73431', '73683', '74752', '76213', '76213', '76511', '76511']
sélectionner	['67794', '67800', '67939', '68385', '69179', '70420', '70918', '70920', '72629', '72631', '73190', '74169']
résistant	['67794', '69816', '70922', '72630', '75065']
sécheresse	['67794', '68387', '69816', '69816', '69816', '69816', '70916', '75458']
mande	['67794', '67938', '68643', '68643', '68643', '68888', '69538', '71836', '72633', '73685', '74455', '74745', '75457', '75462', '76209', '76507', '76509', '76512']
quinzaine	['67794', '68646', '68881', '69821', '70422', '70916', '71614', '71837', '72114', '72394', '72630', '73182', '73684', '73684', '74171', '74171', '74748', '74749', '75063', '76206', '76508', '76509']
trente	['67794', '68387', '75788', '75788']
mal	['67794', '68281', '69534', '69821', '70915', '71612', '71614', '72114', '72394', '72630', '72934', '74167', '74173']
traiter	['67794', '67799', '67939', '68391', '68641', '68642', '68646', '69813', '70424', '70918', '72393', '72637', '72932', '72935', '72935', '72937', '73187', '73431', '73683', '75065', '75065', '75067', '76514']
agenda	['67794']
bailleur	['67794']
fonds	['67794', '67798', '67799', '68385', '68884', '69815', '69818', '70162', '70420', '70421', '71360', '71360', '71614', '71614', '71614', '71616', '73875', '73879', '73879', '73880', '74169', '74450', '74451', '74451', '74453', '75063', '75793', '76508', '76510']
politique	['67794', '67794', '68275', '68383', '68392', '68642', '68645', '69533', '69533', '69533', '69534', '69538', '69813', '69821', '70161', '70164', '70914', '70916', '71357', '71357', '71358', '71358', '72396', '72939', '72940', '73183', '74175', '75796']
avons-nous	['67794', '69812', '71614', '73431']
décider	['67794', '67937', '67937', '67937', '68274', '68279', '68383', '68883', '69177', '69534', '69813', '70161', '70162', '70166', '71612', '71614', '71614', '71614', '71615', '72114', '72115', '72392', '72394', '72398', '72629', '72629', '72933', '73433', '73684', '73685', '73685', '74450', '74455', '74746', '74746', '75457', '75788', '76207', '76211', '76508', '76509', '76512']
écrire	['67794', '70744', '72113']
livre	['67794', '67938', '67938', '68383', '68882', '70914', '71366', '71835', '71835', '74457', '75063', '76213', '76213']
scène	['67794', '70421', '73683', '75792']
sûre	['67794', '67801', '68882']
inverser	['67794', '71835']
tendances	['67794', '76209', '76209']
sinon	['67794', '68881', '69177', '69817', '73182']
courron	['67794']
catastrophe	['67794', '72629', '72629', '72629', '75789', '75789']
gaspillage	['67794', '71366', '71617']
impératives	['67794']
dépendent	['67794']
certes	['67794', '67798', '67937', '68391', '68643', '68882', '69534', '69534', '69540', '70161', '70161', '70166', '70166', '70423', '70424', '71842', '72113', '72114', '72114', '72932', '72932', '72932', '72940', '72940', '73185', '73432', '73875', '73876', '74167', '74168', '75458', '76213', '76511']
constat	['67794', '67938', '67938', '68383', '68383', '70161', '70421', '72115', '72115', '72939', '73182', '74449', '74450', '75457', '76213']
habit	['67794']
frappé	['67794', '70916', '73880']
double	['67794', '68644', '69818', '71359', '74450', '75063', '76213']
peine	['67794', '67937', '68281', '74449', '75790', '76213']
côté	['67794', '67938', '67940', '67945', '68274', '68276', '68391', '68639', '68640', '68645', '68881', '68881', '69179', '69812', '70162', '70748', '70915', '70916', '71359', '71362', '71838', '72115', '72630', '72635', '72932', '72932', '73183', '73183', '73183', '73185', '73430', '73683', '73685', '74453', '74455', '74746', '74749', '75070', '75457', '75457', '75789', '76209', '76213', '76508']
vront-ils	['67794']
échange	['67794', '67939', '68642', '68882', '68882', '68888', '70422', '70749', '70751', '71618', '71840', '72394', '72396', '72398', '72932', '73430', '73690', '73877', '74169', '74174', '75071', '76211']
accent	['67794', '70753']
paysan	['67794', '69821']
investir	['67794', '68387', '70421', '72114', '75461']
vivrière	['67794']
céréales	['67794', '68279', '69182']
capital	['67794', '70161', '70746', '70914', '71360', '71361', '71614', '71614', '72392', '72629', '72631', '73683', '73686', '73875', '73879', '74167', '74168', '74451', '75460', '76510']
s'en	['67794', '70161', '71621', '72630', '72636', '73182', '73434', '76209']
sortir	['67794', '67794', '67939', '68882', '74449', '74752', '76211', '76509']
rural	['67794']
pauvreter	['67794']
redéveloppez	['67794']
locale	['67794', '67803', '72114', '76209']
s'appuyant	['67794', '68277', '73182', '75463', '75463']
43	['67794']
rétrospectif	['67794', '68645', '69533']
projeter	['67794', '70421', '75063']
scénarios	['67794', '69533', '69535', '71357']
montr	['67794', '67795', '67938', '69535', '76209']
poursuite	['67794', '71837']
actuelle	['67794', '68643', '69539', '71614', '72635', '73187', '75457']
disparité	['67794']
s'échelonnent	['67794']
500	['67794', '67794', '67801', '68640', '68883', '68886', '69814', '70425', '71358', '72120', '72935', '73683', '73880', '73884', '74453', '74745', '75789', '76208', '76508']
kcalorie	['67794', '67794', '67794']
rupture	['67794', '68273', '68384', '68638', '68886', '68886', '68886', '68886', '68886', '71357', '71358', '72633', '73438', '73686', '74451', '75066', '75464', '75465', '76210', '76213', '76213', '76213']
personne	['67794', '67798', '67799', '67801', '67802', '67940', '67940', '68273', '68387', '68387', '68387', '68387', '68387', '68643', '68645', '68646', '68646', '68881', '69813', '69813', '69815', '70165', '70166', '70422', '70744', '70914', '71357', '71359', '71616', '71840', '72113', '72115', '72393', '72629', '72633', '72633', '73184', '73187', '73187', '73432', '73691', '73879', '74173', '74449', '74449', '74449', '74449', '74450', '74453', '74453', '74453', '74453', '74746', '74746', '74746', '74746', '74746', '74746', '74746', '74749', '74749', '75063', '75063', '75063', '75065', '75069', '75069', '75069', '75069', '75466', '75793', '76207', '76211', '76507', '76508', '76508', '76508', '76508']
globe	['67794', '69533', '69811', '71836']
viande	['67794', '67794', '71357', '76213', '76511']
régime	['67794', '67798', '68387', '68638', '68638', '69534', '69538', '73432']
agricole	['67794', '68273', '68279', '68645', '68882', '68882', '68882', '68882', '68882', '68882', '68885', '69538', '69538', '69538', '69538', '69538', '69821', '71357', '72630', '72637', '74450', '76213']
précisent-ils	['67794']
ni	['67794', '67794', '67938', '67938', '74450', '74750', '75066', '75066', '76206', '76206']
pessimiste	['67794', '69533']
optimiste	['67794', '69533', '73182']
réalistes	['67794']
qu'envisagent	['67794']
considérablement	['67794', '68275', '71357', '72635', '76208', '76213']
changer	['67794', '68280', '74168', '76213', '76213']
profondément	['67794', '71366', '73182', '73430', '73684', '75458']
