mot	docs
2009	['67068', '67068', '67385', '67554', '67945', '68273', '68386', '68641', '68882', '69541', '71616', '71619', '73688', '73691', '73879', '73883', '76512', '76514']
ecole	['67068', '68383', '68638', '68638', '68638', '68638', '68638', '68639', '68888', '68888', '68888', '68889', '69180', '69180', '69185', '69540', '69820', '69820', '70168', '70426', '70426', '70743', '70747', '71358', '71361', '71361', '71363', '71614', '71619', '72398', '72398', '72398', '72398', '72398', '72398', '72398', '72398', '72398', '72398', '72633', '72932', '72932', '72932', '72932', '72936', '72936', '72936', '72936', '72936', '72936', '72936', '72936', '73182', '73182', '73182', '73183', '73190', '73430', '73430', '73430', '73430', '73430', '73431', '73683', '73686', '73876', '73876', '73879', '73883', '74175', '74455', '74751', '75071', '75457', '75464', '75464', '75464', '75796', '76208', '76211', '76211', '76211', '76513']
physique	['67068', '67068', '67068', '67068', '67068', '67068', '67390', '67798', '68280', '68638', '68638', '68645', '68883', '69536', '69540', '70167', '70421', '70424', '73188', '73688', '74170', '74745', '75070', '75794']
chimie	['67068', '67068', '67071', '67561', '67561', '67561', '68278', '68280', '68280', '68387', '68387', '68643', '68881', '68885', '69183', '69183', '69536', '70166', '70167', '71362', '71612', '72115', '72118', '72630', '72630', '73189', '74744', '74750', '75067', '75067', '75070', '75461', '75792', '76206', '76206']
industrielles	['67068', '67392', '68280', '68390', '68885', '71361', '71839', '73875', '75457']
ville	['67068', '67383', '67555', '68277', '68280', '68390', '68889', '69535', '72400', '73182', '73182', '73690', '73875', '75466', '76210', '76511']
paris	['67068', '67068', '67556', '67795', '67803', '67804', '67804', '67941', '67942', '68280', '68280', '68384', '68646', '69184', '69184', '69185', '69185', '69186', '69815', '70162', '70162', '70162', '70162', '70168', '70168', '70168', '70169', '70421', '70424', '70426', '70426', '70747', '70747', '70748', '70914', '70918', '70922', '71358', '71360', '71620', '71837', '72120', '72120', '72121', '72393', '72396', '72399', '72633', '72636', '72932', '72935', '72936', '72936', '72936', '72939', '73186', '73190', '73190', '73190', '73190', '73430', '73431', '73683', '73684', '73875', '73875', '73879', '73883', '74172', '74172', '74451', '74456', '74746', '74746', '74746', '74749', '74750', '74751', '74751', '74751', '74752', '75063', '75071', '75071', '75457', '75788', '75788', '76211', '76211', '76211', '76507', '76508', '76508', '76510']
(espci)	['67068']
remarquable	['67068', '67937', '67938', '69186', '70424', '70425', '70425', '71621', '72933', '73184', '76213']
exemple	['67068', '67383', '67385', '67386', '67387', '67554', '67554', '67558', '67794', '67795', '67795', '67798', '68273', '68275', '68387', '68639', '68643', '68881', '68881', '68881', '68886', '69177', '69181', '69535', '69537', '69811', '69811', '69815', '69816', '70165', '70166', '70420', '70421', '70751', '70753', '70915', '70915', '71357', '71359', '71614', '71621', '71621', '71836', '72116', '72392', '72393', '72393', '72630', '72632', '72636', '72932', '72933', '72933', '73185', '73430', '73431', '73431', '73876', '73877', '74170', '74449', '74450', '74452', '74744', '74745', '74752', '75462', '75788', '75790', '75792', '76511', '76511']
